Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.7773333333333333,0.7129629629629629,0.3615023474178404,0.4797507788161994,0.7973527071803883
XGBoost,0.7666666666666667,0.6357142857142857,0.41784037558685444,0.5042492917847026,0.77845970921744
Neural Network,0.736,0.6,0.2112676056338028,0.3125,0.6747099605703746
SVM,0.7213333333333334,0.6,0.056338028169014086,0.10300429184549356,0.6522411939045821
Logistic Regression,0.7146666666666667,0.4,0.009389671361502348,0.01834862385321101,0.6501167151887114
